paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP09482	PTETEGNP13058	5.18808	1.91831	5.36173	1.63873	2.66097	1.42018	2.2653	1.10853	2.29293	1.67798	2.10365	1.48625	27.0756	3.05593	9.84249	2.07395	44.2825	4.56789	16.3714	1.69324	4.85448	1.06901	4.73441	0.712688	12.1908	2.23011
PTETEGNP09483	PTETEGNP13060	1.91551	0.593878	1.73607	1.39861	1.3933	2.07008	1.71854	2.19122	1.6922	1.4347	1.26409	1.79174	3.06718	1.24987	3.00572	3.30227	1.85882	1.22321	2.63004	4.24167	1.5715	1.40982	1.52801	2.01648	0.80535	3.03825
PTETEGNP09484	PTETEGNP13061	0.0893466	2.14588	0.210553	3.71742	0.968704	2.37523	0.892964	2.56811	1.45272	5.05692	1.16823	4.72452	2.14042	2.99934	1.42903	2.49829	2.32292	2.34699	2.23739	3.60881	1.58309	3.20425	1.46	2.86109	2.11336	3.43181
PTETEGNP09485	PTETEGNP13062	9.53622	5.0893	7.89429	3.84953	7.30151	4.72886	6.80016	4.76628	7.73418	5.82968	8.1763	4.93674	8.92626	5.62531	7.73872	5.3858	10.6869	7.0876	6.63557	5.15234	9.98648	5.42689	8.72257	4.96425	9.02956	4.4742
PTETEGNP09487	PTETEGNP13064	1.3022	0.408663	2.31705	0.451646	2.66087	0.638488	4.819	0.896736	3.88411	1.27155	4.24936	1.33835	1.53728	0.959285	5.32228	1.14537	3.81808	0.185114	4.3658	0.572249	2.97326	0.267401	3.16248	0.283749	4.42228	0.519275
PTETEGNP09488	PTETEGNP13065	4.37963	0.0935674	3.73614	0	3.53086	0.0901013	3.11507	0.123624	2.8498	0.319827	3.68944	0.606552	2.30456	0	4.09802	0.380878	4.28624	0	3.73423	0.51579	4.25259	0.213148	4.44305	0.311995	3.91267	0.54425
PTETEGNP09489	PTETEGNP13067	5.37995	2.98801	5.2866	3.0345	10.9805	5.57708	10.2399	6.95622	7.01208	3.74877	6.68463	4.8759	7.65414	3.30891	8.27566	4.21533	4.46111	3.07935	5.74026	3.01603	6.99793	3.29166	5.12214	3.50627	5.47696	2.99179
PTETEGNP09490	PTETEGNP13068	103.842	172.653	134.354	158.724	83.2739	105.434	81.2642	79.7935	72.4757	96.396	73.6542	80.555	55.1271	71.6396	63.3047	82.6303	54.1145	73.7312	60.5812	68.1944	53.3779	80.5486	57.6102	73.3224	59.5537	77.7768
PTETEGNP09491	PTETEGNP13069	13.0846	4.4567	17.0966	4.90572	14.7063	4.13159	18.0659	5.29466	21.1127	7.71626	26.6962	9.97741	20.6194	6.70063	24.8807	7.44752	16.838	3.64443	17.1463	6.11311	12.8663	4.89011	16.7564	4.59329	18.8718	7.29559
PTETEGNP09496	PTETEGNP13074	4.28917	85.7564	4.17372	74.152	9.9072	95.1775	11.0496	88.1982	7.22022	97.1896	8.91617	89.8674	9.16215	145.383	8.04625	102.211	13.2635	157.021	10.809	125.868	11.5982	133.732	12.9346	121.655	8.32775	89.6005
